Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;14:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;15:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;16:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;17:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;18:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;19:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;20:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:40;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;21:50;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;22:00;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;22:10;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;22:20;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;22:30;0
Leni (Salina);Precipitazioni totali 10 min. (mm);02/01/2016;22:40;0
